"운영기관별(1)","손익계정별(1)",손익계정별(2),2017,2018,2019,2020,2021
"서울교통공사","영업수입",소계,19673,19865,20046,15595,16291
"서울교통공사","영업수입",운수사업수익,16165,16234,16367,11932,12542
"서울교통공사","영업수입",기타사업수익,3508,3631,3679,3663,3749
"서울교통공사","영업비용",소계,24892,25187,25370,26497,25676
"서울교통공사","영업비용",인건비,12911,12748,12602,13551,12267
"서울교통공사","영업비용",경비,11981,12439,12768,12946,13409
"서울교통공사","영업손익",소계,-5219,-5322,-5324,-10902,-9385
"서울교통공사","영업외수익",소계,772,1684,504,507,511
"서울교통공사","영업외비용",소계,807,1751,1045,743,770
"서울교통공사","경상손익",소계,-5254.0,-5389.0,-5865.0,-11138.0,-9644.0
"서울교통공사9호선운영부문","영업수입",소계,190,232,329,357,281
"서울교통공사9호선운영부문","영업수입",운수사업수익,190,232,329,357,274
"서울교통공사9호선운영부문","영업수입",기타사업수익,-,-,-,-,7
"서울교통공사9호선운영부문","영업비용",소계,186,226,319,347,407
"서울교통공사9호선운영부문","영업비용",인건비,71,86,102,118,134
"서울교통공사9호선운영부문","영업비용",경비,115,140,217,229,273
"서울교통공사9호선운영부문","영업손익",소계,-4,-6,-10,10,-126
"서울교통공사9호선운영부문","영업외수익",소계,1,3,-,-,-
"서울교통공사9호선운영부문","영업외비용",소계,-,-,10,10,-
"서울교통공사9호선운영부문","경상손익",소계,-5.0,-9.0,-,-,-126.0
"서울메트로 9호선㈜","영업수입",소계,1074,1077,1131,899,926
"서울메트로 9호선㈜","영업수입",운수사업수익,943,926,984,758,788
"서울메트로 9호선㈜","영업수입",기타사업수익,131,151,147,141,138
"서울메트로 9호선㈜","영업비용",소계,1260,1250,1283,1275,1318
"서울메트로 9호선㈜","영업비용",인건비,16,17,212,378,404
"서울메트로 9호선㈜","영업비용",경비,1244,1233,1071,897,914
"서울메트로 9호선㈜","영업손익",소계,-186,-173,-152,-376,-392
"서울메트로 9호선㈜","영업외수익",소계,382,412,379,430,536
"서울메트로 9호선㈜","영업외비용",소계,306,317,337,298,289
"서울메트로 9호선㈜","경상손익",소계,-110.0,-78.0,-110.0,-244.0,-145.0
"우이 신설경전철㈜","영업수입",소계,36,129,150,134,296
"우이 신설경전철㈜","영업수입",운수사업수익,35,117,122,116,279
"우이 신설경전철㈜","영업수입",기타사업수익,1,12,28,18,17
"우이 신설경전철㈜","영업비용",소계,138,322,302,280,289
"우이 신설경전철㈜","영업비용",인건비,7,11,10,10,10
"우이 신설경전철㈜","영업비용",경비,131,311,292,270,279
"우이 신설경전철㈜","영업손익",소계,-102,-193,-152,-146,7
"우이 신설경전철㈜","영업외수익",소계,-,4,2,0,1
"우이 신설경전철㈜","영업외비용",소계,42,656,321,171,211
"우이 신설경전철㈜","경상손익",소계,-144.0,-845.0,-471.0,-317.0,-203.0
